KEY;EN;RU;ES;PT;BR
Yugoslavia;Yugoslavia;Югославия;Yugoslavia;Iugoslávia;Iugoslávia
Francoist Spain;Francoist Spain;Франкистская Испания;España franquista;Espanha franquista;Espanha franquista
Yugoslavian Confederation;Yugoslavian Confederation;Югославская Конфедерация;Confederación Yugoslava;Confederação Iugoslava;Confederação Iugoslava
Arabia;Arabia;Аравия;arabia;Arábia;Arábia
Austria-Hungary;Austria-Hungary;Австро-Венгрия;Austria-Hungría;Áustria-Hungria;Áustria-Hungria
Balkan Federation;Balkan Federation;Балканская Федерация;Federación Balcánica;Federação Balcânica;Federação Balcânica
Baltic Union;Baltic Union;Балтийский Союз;Unión Báltica;União Báltica;União Báltica
Belgian Empire;Belgian Empire;Бельгийская империя;Imperio belga;Império Belga;Império Belga
Celtic Union;Celtic Union;Кельтский союз;Unión celta;União Celta;União Celta
Elliniko Kratos;Elliniko Kratos;Эллинико Кратос;Elliniko Kratos;Elliniko Kratos;Elliniko Kratos
European Union;European Union;Евросоюз;unión Europea;União Europeia;União Europeia
French Empire;French Empire;Французская империя;Imperio francés;Império Francês;Império Francês
German Empire;German Empire;Германская империя;imperio Alemán;Império Alemão;Império Alemão
Greater Albania;Greater Albania;Великая Албания;Gran Albania;Grande Albânia;Grande Albânia
Greater Bulgaria;Greater Bulgaria;Великая Болгария;Gran Bulgaria;Grande Bulgária;Grande Bulgária
Greater Finland;Greater Finland;Великая Финляндия;Gran Finlandia;Grande Finlândia;Grande Finlândia
Greater Italy;Greater Italy;Великая Италия;Gran Italia;Grande Itália;Grande Itália
Greater Poland;Greater Poland;Великая Польша;Gran Polonia;Grande Polônia;Grande Polônia
Großgermanisches Reich;Großgermanisches Reich;Großgermanisches Reich;Großgermanisches Reich;Großgermanisches Reich;Großgermanisches Reich
Kalmar Union;Kalmar Union;Кальмарский союз;Unión de Kalmar;União de Kalmar;União de Kalmar
Kingdom of Hungary;Kingdom of Hungary;Королевство Венгрия;Reino de Hungría;Reino da Hungria;Reino da Hungria
LeoBelgikus;LeoBelgikus;ЛеоБельгикус;Leobelgikus;Leo Bélgica;Leo Bélgica
Intermarium;Intermarium;Междуморье;Intermarium;Intermarium;Intermarium
Ottoman Empire;Ottoman Empire;Османская империя;imperio Otomano;império Otomano;império Otomano
Pan-slavic union;Pan-slavic union;Панславянский союз;Unión paneslava;União pan-eslava;União pan-eslava
Polish-Lithuanian Commonwealth;Polish-Lithuanian Commonwealth;Речь посполитая;Commonwealth polaco-lituana;Comunidade Polaco-Lituana;Comunidade Polaco-Lituana
Swedish Empire;Swedish Empire;Шведская империя;Imperio sueco;Império Sueco;Império Sueco
Empire Of The North Sea;Empire Of The North Sea;Империя Северного моря;Imperio del Mar del Norte;Império do Mar do Norte;Império do Mar do Norte
Демократия;Democracy;Демократия;Democracia;Democracia;Democracia
Коммунизм;Communism;Коммунизм;Comunismo;O comunismo;O comunismo
Фашизм;Fascism;Фашизм;Fascismo;Fascismo;Fascismo
Монархия;Monarchy;Монархия;Monarquía;Monarquia;Monarquia
Неопределено;Undefined;Неопределено;Indefinido;Indefinido;Indefinido
Неопределённый;Undefined;Неопределено;Indefinido;Indefinido;Indefinido
Неопределенный;Undefined;Неопределено;Indefinido;Indefinido;Indefinido
Diplomaty.WarsWithMyParticipation;Wars with your participation;Войны с вашим участием;Guerras con su participación;Guerras com a sua participação;Guerras com sua participação
Diplomaty.Accepted;They are <b><color="green">accepted</color></b> your offer;Они <b><color="green">приняли</color></b> ваше предложение;Han <b><color="green">aceptado</color></b> tu oferta;Eles <b><color="green">aceitaram</color></b> sua oferta;Eles <b><color="green">aceitaram</color></b> sua oferta
Diplomaty.Declined;They are <b><color="red">rejected</color></b> your offer;Они <b><color="red">отклонили</color></b> ваше предложение;Han <b><color="red">rechazada</color></b> tu oferta.;Eles <b><color="red">rejeitaram</color></b> sua oferta;Eles <b><color="red">rejeitaram</color></b> sua oferta
Diplomaty.SendMoney;Send gold;Отправить золото;enviar oro;Enviar ouro;Enviar ouro
Diplomaty.AskMoney;Ask for gold;Попросить золото;pedir oro;Peça ouro;Peça ouro
Diplomaty.SendFood;Send food;Отправить провизию;enviar comida;Enviar comida;Enviar comida
Diplomaty.AskFood;Ask for food;Попросить провизию;pedir comida;Peça comida;Peça comida
Diplomaty.SendRecruits;Send recruits;Отправить рекрутов;enviar reclutas;Enviar recrutas;Enviar recrutas
Diplomaty.AskRecruits;Ask for recruits;Попросить рекрутов;Preguntar por reclutas;Peça recrutas;Peça recrutas
Diplomaty.SendWar;Declare war;Объявить войну;Declarar la guerra;Declarar guerra;Declarar guerra
Diplomaty.Peace;Peace;Заключить мир;Paz;Paz;Paz
Diplomaty.AskForWar;Call to war with ...;Призвать в войну с ...;Llamado a la guerra con...;Chame para a guerra com ...;Chame para a guerra com ...
Diplomaty.Vassal;Make a vassal;Сделать вассалом;hacer un vasallo;Faça um vassalo;Faça um vassalo
Diplomaty.FreeVassal;Free a vassal;Освободить вассала;Liberar a un vasallo;Liberte um vassalo;Liberte um vassalo
Diplomaty.Union;Union;Союз;Unión;União;União
Diplomaty.DeUnion;Dissolve the union;Расторгнуть союз;disolver el sindicato;Dissolver o sindicato;Dissolver o sindicato
Diplomaty.Trade;Trade;Торговля;Comercio;Troca;Troca
Diplomaty.UnTrade;Stop trading;Прекратить торговлю;dejar de operar;Pare de negociar;Pare de negociar
Diplomaty.Pact;Nonaggression pact;Пакт о ненападении;Pacto no agresivo;Pacto de não-agressão;Pacto de não-agressão
Diplomaty.AntiPact;Terminate the non-aggression pact;Расторгнуть пакт о ненападении;Poner fin al pacto de no agresión;Terminar o pacto de não agressão;Terminar o pacto de não agressão
Diplomaty.Right;Right of passage for troops;Право прохода войск;Derecho de paso de tropas;Direito de passagem para tropas;Direito de passagem para tropas
Diplomaty.DeRight;Terminate the right of passage of troops;Расторгнуть право прохода войск;Terminar el derecho de paso de tropas.;Terminar o direito de passagem de tropas;Terminar o direito de passagem de tropas
Diplomaty.TransferRegions;Transfer regions;Передать регионы;Transferir regiones;Regiões de transferência;Regiões de transferência
Diplomaty.AskForRegions;Ask for regions;Попросить регионы;Preguntar por regiones;Pergunte por regiões;Pergunte por regiões
Diplomaty.MoreInfoButton;More details;Подробнее;Más detalles;Mais detalhes;Mais detalhes
Diplomaty.Title;Diplomatic actions;Дипломатические действия;Acciones diplomáticas;Ações diplomáticas;Ações diplomáticas
CountryInfo.ProvincesText;Provinces;Провинции;Provincias;Províncias;Províncias
CountryInfo.Population;Population;Население;Población;População;População
CountryInfo.InternalPoliticsTitle;Internal politics;Внутренняя политика;Política interna;Política interna;Política interna
CountryInfo.ChangeIdeoogyButton;Change the ideology of the state;Изменить идеологию государства;Cambiar la ideología del estado.;Mudar a ideologia do estado;Mudar a ideologia do estado
CountryInfo.ChangeMobilisationLaw;Change the draft law;Изменить закон о призыве;Cambiar el proyecto de ley;Alterar o projeto de lei;Alterar o projeto de lei
CountryInfo.Mobilisation.0;Unarmed country;Безоружная страна;país desarmado;País desarmado;País desarmado
CountryInfo.Mobilisation.1;Volunteer Army;Добровольческая армия;ejército voluntario;Exército Voluntário;Exército Voluntário
CountryInfo.Mobilisation.2;Partial conscription;Частичный призыв;Servicio militar obligatorio parcial;Recrutamento parcial;Recrutamento parcial
CountryInfo.Mobilisation.3;Mandatory service;Обязательная служба;Servicio obligatorio;Serviço obrigatório;Serviço obrigatório
CountryInfo.Mobilisation.4;All adults serve;Все взрослые проходят службу;Todos los adultos sirven;Todos os adultos servem;Todos os adultos servem
CountryInfo.Mobilisation.5;Total mobilization;Тотальная мобилизация;Movilización total;Mobilização total;Mobilização total
CountryInfo.FormCountryButton;Form a country in...;Сформировать страну в ...;Formar un país en...;Formar um país em...;Formar um país em...
CountryInfo.DivisionsTemplateButton;Division Templates;Шаблоны дивизий;Plantillas de división;Modelos de divisão;Modelos de divisão
CountryInfo.DivisionsTemplateTitle;Your division templates;Ваши шаблоны дивизий;Tus plantillas de división;Seus modelos de divisão;Seus modelos de divisão
CountryInfo.DivisionTemplateTitle;Your division template;Ваш шаблон;Tu plantilla de división;Seu modelo de divisão;Seu modelo de divisão
CountryInfo.CreateDivisionTemplateButton;Create a template;Создать шаблон;Crear una plantilla;Crie um modelo;Crie um modelo
CountryInfo.CreateVassalButton;Create vassal;Создать вассала;Crear vasallo;Criar vassalo;Criar vassalo
CountryInfo.PoliticalParties;Parties;Партии;Fiestas;Festas;Festas
CountryInfo.IncomesTitle;Income;Доходы;Ingreso;Renda;Renda
CountryInfo.ExpensesTitle;Expenses;Расходы;Gastos;Despesas;Despesas
CountryInfo.Expenses.Inflation;Inflation;Инфляция;Inflación;Inflação;Inflação
Settings.GraphicsTitle;Graphics;Графика;Gráficos;Gráficos;Gráficos
Settings.PostProcessing;Post effects;Пост эффекты;Efectos posteriores;Pós-efeitos;Pós-efeitos
Settings.WaterAnimation;Water animation;Анимация воды;Animación de agua;Animação de água;Animação de água
Settings.Cities;Cities;Города;Ciudades;Cidades;Cidades
Settings.Borders;Borders;Границы провинций;Fronteras;Fronteiras;Fronteiras
Settings.MusicTitle;Music;Музыка;Música;Música;Música
Settings.Resume;Continue;Продолжить;Continuar;Continuar;Continuar
Settings.RestartCamera;Restart camera;Перезапустить камеру;Reiniciar cámara;Reinicie a câmera;Reinicie a câmera
Settings.PhotoMode;Photo mode;Режим фото;Modo foto;Modo foto;Modo foto
Settings.GameGuide;Game Guide;Справочник по игре;Guía de juego;Guia do jogo;Guia do jogo
Settings.SaveGame;Save the game;Сохранить игру;guarda el juego;Salve o jogo;Salve o jogo
Settings.Menu;Menu;Меню;Menú;Cardápio;Cardápio
Settings.DeleteAllSaves;Delete all saves;Удалить все сохранения;Eliminar todos los guardados;Excluir todos os salvamentos;Excluir todos os salvamentos
Settings.MoreResources;Additional Resources;Дополнительные ресурсы;Recursos adicionales;Recursos adicionais;Recursos adicionais
Settings.FPSCounter;FPS counter;Счётчик FPS;Contador de FPS;Contador de FPS;Contador de FPS
Settings.GameProcess;Game process;Игровой процесс;Proceso del juego;Processo de jogo;Processo de jogo
Settings.CameraZoom;Camera zoom speed;Скорость приближения камеры;Velocidad de zoom de la cámara;Velocidade de zoom da câmera;Velocidade de zoom da câmera
Settings.CameraSpeed;Camera movement speed;Скорость движения камеры;Velocidad de movimiento de la cámara;Velocidade de movimento da câmera;Velocidade de movimento da câmera
Settings.MusicVolume;Music volume;Громкость музыки;Volumen de la música;Volume da música;Volume da música
Settings.Autosave;Autosave after... moves;Автосохранение через ... ходов;Guardado automático después de... movimientos;Salvamento automático após... movimentos;Salvamento automático após... movimentos
Settings.AdvertTitle;Resources for advertising;Ресурсы за рекламу;Recursos para publicidad;Recursos para publicidade;Recursos para publicidade
RegionUI.ClaimButton;Make a claim;Заявить претензии;Hacer un reclamo;Faça uma reclamação;Faça uma reclamação
RegionUI.Claims;Claims;Претензии;Reclamos;Reivindicações;Reivindicações
RegionUI.ClickToRemove;Click to delete;Нажмите, чтобы удалить;Haga clic para eliminar;Clique para excluir;Clique para excluir
RegionUI.Fleet.Remove;Disband the flotilla;Распустить флотилию;Disolver la flotilla;Dissolver a flotilha;Dissolver a flotilha
RegionUI.Fleet.Heal;Send for repair;Отправить на ремонт;enviar a reparar;Enviar para reparo;Enviar para reparo
RegionUI.RemoveDivisionText;Disband the division?&&All resources will be returned;Распустить дивизию?&&Все ресурсы будут возвращены;¿Disolver la división? &&Se devolverán todos los recursos;Dissolver a divisão?&&Todos os recursos serão devolvidos;Dissolver a divisão?&&Todos os recursos serão devolvidos
RegionUI.Fleet.InStock;In stock;В запасах;En stock;Em estoque;Em estoque
RegionUI.CreateFleetText;Create a flotilla?&&It will cost gold and recruits, and in the future food and gold will be spent on its maintenance;Создать флотилию?&&Это будет стоить золота и рекрутов, и в дальнейшем будет тратиться пища и золото на её содержание;¿Crear una flotilla?&&Costará oro y reclutas, y en el futuro se gastará comida y oro en su mantenimiento.;Criar uma flotilha?&&Isso custará ouro e recrutas, e no futuro alimentos e ouro serão gastos em sua manutenção;Criar uma flotilha?&&Isso custará ouro e recrutas, e no futuro alimentos e ouro serão gastos em sua manutenção
RegionUI.CreateArmyText;Raise an army?&&It will cost gold, food and recruits. In the future, food and gold will be spent on its maintenance;Собрать армию?&&Это будет стоить золота, пищи и рекрутов. В дальнейшем будет тратиться пища и золото на её содержание;¿Levantar un ejército?&&Costará oro, comida y reclutas. En el futuro se gastará comida y oro en su mantenimiento.;Criar um exército?&&Isso custará ouro, comida e recrutas. No futuro, alimentos e ouro serão gastos na sua manutenção;Criar um exército?&&Isso custará ouro, comida e recrutas. No futuro, alimentos e ouro serão gastos na sua manutenção
RegionUI.Division.Remove;Disband the division;Распустить дивизию;Disolver la división;Dissolver a divisão;Dissolver a divisão
RegionUI.Division.HealButton;Restore health;Восстановить здоровье;Recuperar salud;Restaurar a saúde;Restaurar a saúde
RegionUI.Division.HealText;Restore the health of the battalions?&&It will cost;Восстановиить здоровье батальонам?&&Это будет стоить;¿Restaurar la salud de los batallones?&&Costará;Restaurar a saúde dos batalhões?&&Isso custará;Restaurar a saúde dos batalhões?&&Isso custará
RegionUI.GoldText;gold;золота;oro;ouro;ouro
RegionUI.FoodText;provisions;провизии;provisiones;disposições;disposições
RegionUI.RecruitsText;recruits;рекрутов;reclutas;recrutas;recrutas
TechnologyPanel.Infantry;Infantry;Пехота;Infantería;Infantaria;Infantaria
TechnologyPanel.Art;Artillery;Артиллерия;Artillería;Artilharia;Artilharia
TechnologyPanel.Heavy;Armored vehicles;Бронетехника;Vehículos blindados;Veículos blindados;Veículos blindados
TechnologyPanel.Economic;Economy;Экономика;Economía;Economia;Economia
TechnologyPanel.Close;Close technology menu;Закрыть меню технологий;Cerrar menú de tecnología;Fechar menu de tecnologia;Fechar menu de tecnologia
TechnologyPanel.Research;Research;Изучить;Investigación;Investigação;Pesquisa
TechnologyPanel.CancelResearch;Cancel research;Отменить изучение;Cancelar investigación;Cancelar investigação;Cancelar pesquisa
TechnologyPanel.Researched;Researched;Изучено;Investigado;Investigado;Pesquisado
TechnologyPanel.TechNeeded;Technologies required:;Необходимы технологии:;Tecnologías requeridas:;Tecnologias necessárias:;Tecnologias necessárias:
Buildings.Fabric;Factory;Фабрика;Fábrica;Fábrica;Fábrica
Buildings.Farm;Farm;Ферма;Granja;Fazenda;Fazenda
Buildings.ChemicalFarm;Chemical farm;Химическая ферма;granja quimica;Fazenda química;Fazenda química
Buildings.ResLab;Research laboratory;Исследовательская лаборатория;Laboratorio de investigación;Laboratório de pesquisas;Laboratório de pesquisas
Buildings.Dockyard;Shipyards;Верфи;Astilleros;Estaleiros;Estaleiros
Buildings.Infra;Infrastructure;Инфраструктура;Infraestructura;A infraestrutura;A infraestrutura
Buildings.Bunker;Strengthening;Укрепление;Fortalecimiento;Reforço;Reforço
Buildings.MarineBase;Naval base;Морская база;Base naval;Base naval;Base naval
//города;//города;//города;//города;//города;//города
Ренн;Rennes;Ренн;Rennes;Rennes;Rennes
Нант;Nantes;Нант;Nantes;Nantes;Nantes
Бордо;Bordeaux;Бордо;Burdeos;Bordéus;Bordéus
Тулуза;Toulouse;Тулуза;Tolosa;Toulouse;Toulouse
Марсель;Marseilles;Марсель;Marsella;Marselha;Marselha
Лион;Lyon;Лион;León;Lyon;Lyon
Дижон;Dijon;Дижон;Dijon;Dijon;Dijon
Страсбург;Strasbourg;Страсбург;Estrasburgo;Estrasburgo;Estrasburgo
Париж;Paris;Париж;París;Paris;Paris
Берлин;Berlin;Берлин;Berlina;Berlim;Berlim
Варшава;Warsaw;Варшава;Varsovia;Varsóvia;Varsóvia
Мадрид;Madrid;Мадрид;Madrid;Madri;Madri
Белград;Belgrade;Белград;Belgrado;Belgrado;Belgrado
Сараево;Sarajevo;Сараево;Sarajevo;Sarajevo;Sarajevo
Загреб;Zagreb;Загреб;zagreb;Zagrebe;Zagrebe
Любляна;Ljubljana;Любляна;Liubliana;Liubliana;Liubliana
Приштина;Pristina;Приштина;Prístina;Pristina;Pristina
Будапешт;Budapest;Будапешт;budapest;Budapeste;Budapeste
Братислава;Bratislava;Братислава;Bratislava;Bratislava;Bratislava
Прага;Prague;Прага;Praga;Praga;Praga
Вена;Vein;Вена;Vena;Veia;Veia
Рим;Rome;Рим;Roma;Roma;Roma
Лиссабон;Lisbon;Лиссабон;Lisboa;Lisboa;Lisboa
Брюссель;Brussels;Брюссель;Bruselas;Bruxelas;Bruxelas
Амстердам;Amsterdam;Амстердам;Ámsterdam;Amsterdã;Amsterdã
Люксембург;Luxembourg;Люксембург;Luxemburgo;Luxemburgo;Luxemburgo
Подгорица;Podgorica;Подгорица;Podgorica;Podgorica;Podgorica
Зальцбург;Salzburg;Зальцбург;Salsburgo;Salzburgo;Salzburgo
Турин;Turin;Турин;Turín;Turim;Turim
Милан;Milan;Милан;Milán;Milão;Milão
Флоренция;Florence;Флоренция;Florencia;Florença;Florença
Барселона;Barcelona;Барселона;Barcelona;Barcelona;Barcelona
Саламанка;Salamanca;Саламанка;Salamanca;Salamanca;Salamanca
Бильбао;Bilbao;Бильбао;bilbao;Bilbau;Bilbau
Севилья;Seville;Севилья;Sevilla;Sevilha;Sevilha
Лондон;London;Лондон;Londres;Londres;Londres
Кардифф;Cardiff;Кардифф;Cardiff;Cardife;Cardife
Ливерпуль;Liverpool;Ливерпуль;Liverpool;Liverpool;Liverpool
Плимут;Plymouth;Плимут;Plymouth;Plymouth;Plymouth
Норидж;Norwich;Норидж;Norwich;Norwich;Norwich
Белфаст;Belfast;Белфаст;belfast;Belfast;Belfast
Глазго;Glasgow;Глазго;glasgow;Glasgow;Glasgow
Карлайл;Carlisle;Карлайл;Carlisle;Carlisle;Carlisle
Дублин;Dublin;Дублин;Dublín;Dublin;Dublin
Каррантуил;Carrantuil;Каррантуил;Carrantuil;Carrantuil;Carrantuil
Слайго;Sligo;Слайго;sligo;Sligo;Sligo
Лиффорд;Lifford;Лиффорд;Liford;Lifford;Lifford
Голуэй;Galway;Голуэй;Galway;Galway;Galway
Штутгард;Stuttgart;Штутгард;Stuttgart;Estugarda;Estugarda
Кельн;Cologne;Кельн;Colonia;Colônia;Colônia
Франкфурт;Frankfurt;Франкфурт;Francfort;Francoforte;Francoforte
Мюнхен;Munich;Мюнхен;Munich;Munique;Munique
Нюрнберг;Nuremberg;Нюрнберг;Núremberg;Nuremberg;Nuremberg
Дрезден;Dresden;Дрезден;Dresde;Dresda;Dresda
Лейпциг;Leipzig;Лейпциг;Leipzig;Lípsia;Lípsia
Бремен;Bremen;Бремен;Brema;Brema;Brema
Гамбург;Hamburg;Гамбург;Hamburgo;Hamburgo;Hamburgo
Ганновер;Hanover;Ганновер;Hanovre;Hanôver;Hanôver
Гаага;Hague;Гаага;la Haya;Haia;Haia
Роттердам;Rotterdam;Роттердам;Róterdam;Roterdã;Roterdã
Антверпен;Antwerp;Антверпен;Amberes;Antuérpia;Antuérpia
Дюнкерк;Dunkirk;Дюнкерк;Dunkerque;Dunquerque;Dunquerque
Кале;Calais;Кале;Calais;Calais;Calais
Мец;Metz;Мец;Metz;Metz;Metz
Нанси;Nancy;Нанси;nancy;Nancy;Nancy
Реймс;Reims;Реймс;Reims;Reims;Reims
Амьен;Amiens;Амьен;Amiens;Amiens;Amiens
Руан;Rouen;Руан;Ruan;Ruão;Ruão
Кан;Kahn;Кан;Kahn;Kahn;Kahn
Брест;Brest;Брест;Brest;Brest;Brest
Монпелье;Montpellier;Монпелье;Montpellier;Montpellier;Montpellier
Ницца;Nice;Ницца;Lindo;Legal;Legal
Лимож;Limoges;Лимож;Limoges;Limoges;Limoges
Орлеан;Orleans;Орлеан;Orleáns;Orleães;Orleães
Портсмут;Portsmouth;Портсмут;Portsmouth;Portsmouth;Portsmouth
Дувр;Dover;Дувр;Dover;Dover;Dover
Бирмингем;Birmingham;Бирмингем;Birmingham;Birmingham;Birmingham
Манчестер;Manchester;Манчестер;Manchester;Manchester;Manchester
Лидс;Leeds;Лидс;leeds;Leeds;Leeds
Шеффилд;Sheffield;Шеффилд;Sheffield;Sheffield;Sheffield
Эдинбург;Edinburgh;Эдинбург;Edimburgo;Edimburgo;Edimburgo
Пальма;Palm;Пальма;Palmera;Palma;Palma
Валенсия;Valencia;Валенсия;Valencia;Valência;Valência
Ла-Корунья;La Coruña;Ла-Корунья;La Coruña;La Corunha;La Corunha
Порту;Porto;Порту;Oporto;Porto;Porto
Малага;Malaga;Малага;málaga;málaga;málaga
Мурсия;Murcia;Мурсия;Murcia;Múrcia;Múrcia
Коимбра;Coimbra;Коимбра;Coímbra;Coimbra;Coimbra
Бургос;Burgos;Бургос;Burgos;Burgos;Burgos
Леон;Leon;Леон;León;Leão;Leão
Гренада;Grenada;Гренада;Granada;Granada;Granada
Рабат;Rabat;Рабат;Rabat;Rabate;Rabate
Марракеш;Marrakesh;Марракеш;Marrakech;Marraquexe;Marraquexe
Алжир;Algeria;Алжир;Argelia;Argélia;Argélia
Оран;Oran;Оран;Orán;Orã;Orã
Тунис;Tunisia;Тунис;Túnez;Tunísia;Tunísia
Сфакс;Sfax;Сфакс;sfax;Sfax;Sfax
Триполи;Tripoli;Триполи;Trípoli;Trípoli;Trípoli
Бенгази;Benghazi;Бенгази;Bengasi;Bengasi;Bengasi
Александрия;Alexandria;Александрия;Alejandría;Alexandria;Alexandria
Каир;Cairo;Каир;El Cairo;Cairo;Cairo
Иерусалим;Jerusalem;Иерусалим;Jerusalén;Jerusalém;Jerusalém
Тель-Авив;Tel Aviv;Тель-Авив;Tel Aviv;Tel Aviv;Tel Aviv
Бейрут;Beirut;Бейрут;Beirut;Beirute;Beirute
Дамаск;Damascus;Дамаск;Damasco;Damasco;Damasco
Хомс;Homs;Хомс;homs;Homs;Homs
Алеппо;Aleppo;Алеппо;Alepo;Alepo;Alepo
Багдад;Baghdad;Багдад;Bagdad;Bagdá;Bagdá
Эрбиль;Erbil;Эрбиль;Erbil;Arbil;Arbil
Мосул;Mosul;Мосул;Mosul;Mossul;Mossul
Эль-Кувейт;Kuwait City;Эль-Кувейт;Ciudad de Kuwait;Cidade de Kuwait;Cidade de Kuwait
Тебриз;Tabriz;Тебриз;Tabriz;Tabriz;Tabriz
Ереван;Yerevan;Ереван;Ereván;Erevan;Erevan
Баку;Baku;Баку;Bakú;Bacu;Bacu
Тбилиси;Tbilisi;Тбилиси;Tiflis;Tbilissi;Tbilissi
Сухум;Sukhum;Сухум;Sujum;Sukhum;Sukhum
Цхинвал;Tskhinvali;Цхинвал;Tsjinvali;Tskhinvali;Tskhinvali
Махачкала;Makhachkala;Махачкала;Majachkalá;Mahackala;Mahackala
Грозный;Grozny;Грозный;Grozni;Terrível;Terrível
Владикавказ;Vladikavkaz;Владикавказ;Vladicáucaso;Vladikavkaz;Vladikavkaz
Нальчик;Nalchik;Нальчик;Nálchik;Nalchik;Nalchik
Пятигорск;Pyatigorsk;Пятигорск;Piatigorsk;Piatigorsk;Piatigorsk
Ставрополь;Stavropol;Ставрополь;Stávropol;Stavropol;Stavropol
Краснодар;Krasnodar;Краснодар;Krasnodar;Krasnodar;Krasnodar
Новороссийск;Novorossiysk;Новороссийск;Novorosíisk;Novorossisk;Novorossisk
Керчь;Kerch;Керчь;Kerch;Querche;Querche
Севастополь;Sevastopol;Севастополь;Sebastopol;Sebastopol;Sebastopol
Симферополь;Simferopol;Симферополь;Simferópol;Simferopol;Simferopol
Ялта;Yalta;Ялта;Yalta;Ialta;Ialta
Джанкой;Dzhankoy;Джанкой;Dzhankói;Dzhankoy;Dzhankoy
Херсон;Kherson;Херсон;Jersón;Kherson;Kherson
Каховка;Kakhovka;Каховка;Kajovka;Kakhovka;Kakhovka
Мелитополь;Melitopol;Мелитополь;Melitópol;Melitopol;Melitopol
Запорожье;Zaporozhye;Запорожье;Zaporozhye;Zaporozhye;Zaporozhye
Мариуполь;Mariupol;Мариуполь;Mariúpol;Mariupol;Mariupol
Сталино;Stalino;Сталино;estalino;Stálin;Stálin
Ворошиловград;Voroshilovgrad;Ворошиловград;Voroshilovgrad;Voroshilovgrado;Voroshilovgrado
Таганрог;Taganrog;Таганрог;Taganrog;Taganrog;Taganrog
Ростов-на-Дону;Rostov-on-Don;Ростов-на-Дону;Rostov del Don;Rostov do Don;Rostov do Don
София;Sofia;София;Sofía;Sofia;Sofia
Бухарест;Bucharest;Бухарест;Bucarest;Bucareste;Bucareste
Тегеран;Tehran;Тегеран;Teherán;Teerã;Teerã
Добрич;Dobrich;Добрич;Dóbrich;Dobrich;Dobrich
Варна;Varna;Варна;Varna;Varna;Varna
Констанца;Constanta;Констанца;Constanza;Constança;Constança
Пловдив;Plovdiv;Пловдив;Plovdiv;Plovdiv;Plovdiv
Бургас;Burgas;Бургас;Burgas;Burgas;Burgas
Стамбул;Istanbul;Стамбул;Estanbul;Istambul;Istambul
Фесалоники;Thessaloniki;Фесалоники;Salónica;Salónica;Salónica
Скопье;Skopje;Скопье;Skopie;Escópia;Escópia
Палермо;Palermo;Палермо;palermo;Palermo;Palermo
Печ;Pecs;Печ;pectorales;Peitorais;Peitorais
Клуж;Cluj;Клуж;Cluja;Cluj;Cluj
Тимишоара;Timisoara;Тимишоара;Timisoara;Timişoara;Timişoara
Кишинев;Kishinev;Кишинев;Kishinev;Kishinev;Kishinev
Одесса;Odessa;Одесса;Odesa;Odessa;Odessa
Николаев;Nikolaev;Николаев;Nikolaev;Nicolaev;Nicolaev
Кривой рог;Krivoy Rog;Кривой рог;Krivói Rog;Krivoy Rog;Krivoy Rog
Днепропетровск;Dnepropetrovsk;Днепропетровск;Dnepropetrovsk;Dnepropetrovsk;Dnepropetrovsk
Харьков;Kharkiv;Харьков;Járkov;Carcóvia;Carcóvia
Сумы;Sumy;Сумы;Sumy;Sumy;Sumy
Полтава;Poltava;Полтава;Poltava;Poltava;Poltava
Кирово;Kirovo;Кирово;Kirovo;Kirovo;Kirovo
Черкассы;Cherkasy;Черкассы;Cherkasy;Tcherkássi;Tcherkássi
Киев;Kyiv;Киев;Kyiv;Kyiv;Kyiv
Чернигов;Chernigov;Чернигов;Chernígov;Chernigov;Chernigov
Гомель;Gomel;Гомель;Gómel;Gomel;Gomel
Могилев;Mogilev;Могилев;Mogilev;Mogilev;Mogilev
Витебск;Vitebsk;Витебск;Vítebsk;Vitebsk;Vitebsk
Минск;Minsk;Минск;Minsk;Minsk;Minsk
Брест-Литовский;Brest-Litovsk;Брест-Литовский;Brest-Litovsk;Brest-Litovsk;Brest-Litovsk
Гродно;Grodno;Гродно;Grodno;Hrodna;Hrodna
Вильнюс;Vilnius;Вильнюс;Vilna;Vilnius;Vilnius
Каунас;Kaunas;Каунас;Kaunas;Kaunas;Kaunas
Клайпеда;Klaipeda;Клайпеда;Kláipeda;Klaipeda;Klaipeda
Мемель;Memel;Мемель;Memel;Memel;Memel
Рига;Riga;Рига;riga;Riga;Riga
Таллин;Tallinn;Таллин;Tallin;Tallin;Tallin
Выборг;Vyborg;Выборг;Víborg;Vyborg;Vyborg
Ленинград;Leningrad;Ленинград;Leningrado;Leningrado;Leningrado
Псков;Pskov;Псков;Pskov;Pskov;Pskov
Новгород;Novgorod;Новгород;Nóvgorod;Novgorod;Novgorod
Калинин;Kalinin;Калинин;Kalinin;Kalinin;Kalinin
Смоленск;Smolensk;Смоленск;Smolensk;Smolensk;Smolensk
Брянск;Bryansk;Брянск;Briansk;Briansk;Briansk
Орел;Eagle;Орел;Águila;Águia;Águia
Курск;Kursk;Курск;kursk;Kursk;Kursk
Белгород;Belgorod;Белгород;Bélgorod;Belgorod;Belgorod
Воронеж;Voronezh;Воронеж;Vorónezh;Voronej;Voronej
Куйбышев;Kuibyshev;Куйбышев;Kuibyshev;Kuibyshev;Kuibyshev
